Rx:0-10:05:00.120-01 0E 3A 00 02 02 BB 01 11
Rx:418-10:08:29.910-02 0F FF 01 1B 03 3A 01 9F
Tx:419-10:08:29.913-02 55 00 00 00 00 00 00 00
Rx:420-10:08:30.120-01 0F FD 01 35 03 3D 01 9F
Tx:421-10:08:30.123-01 55 00 00 00 00 00 00 00
Rx:422-10:08:31.640-02 0F FB 01 1B 03 3C 01 9F
Tx:423-10:08:31.643-02 55 00 00 00 00 00 00 00
Rx:424-10:08:32.910-01 0F F3 01 35 03 3F 01 A3
Tx:425-10:08:32.913-01 55 00 00 00 00 00 00 00
Rx:426-10:08:33.120-02 0F FE 01 1F 03 40 01 A2
Tx:427-10:08:33.123-02 55 00 00 00 00 00 00 00
Rx:428-10:08:34.640-01 0F F0 01 1B 03 3C 01 A4
Tx:429-10:08:34.643-01 55 00 00 00 00 00 00 00
Rx:430-10:08:35.910-02 0F F1 01 2C 03 39 01 A5
Tx:431-10:08:35.913-02 55 00 00 00 00 00 00 00
Rx:432-10:08:36.120-01 0F FA 01 20 03 39 01 A6
Tx:433-10:08:36.123-01 55 00 00 00 00 00 00 00
Rx:434-10:08:37.640-02 10 01 01 21 03 3D 01 A0
Tx:435-10:08:37.643-02 55 00 00 00 00 00 00 00
Rx:436-10:08:38.910-01 0F F8 01 36 03 43 01 A5
Tx:437-10:08:38.913-01 55 00 00 00 00 00 00 00
Rx:438-10:08:39.120-02 10 03 01 3A 03 3C 01 A4
Tx:439-10:08:39.123-02 55 00 00 00 00 00 00 00
Rx:440-10:08:40.640-01 0F FB 01 23 03 3F 01 A3
Tx:441-10:08:40.643-01 55 00 00 00 00 00 00 00
Rx:442-10:08:41.910-02 0F F7 01 37 03 42 01 A7
Tx:443-10:08:41.913-02 55 00 00 00 00 00 00 00
Rx:444-10:08:42.120-01 10 04 01 1A 03 3E 01 AA
Tx:445-10:08:42.123-01 55 00 00 00 00 00 00 00
Rx:446-10:08:43.640-02 0F FB 01 25 03 3F 01 A3
Tx:447-10:08:43.643-02 55 00 00 00 00 00 00 00
Rx:448-10:08:44.910-01 0F F7 01 2C 03 3F 01 A5
Tx:449-10:08:44.913-01 55 00 00 00 00 00 00 00
Rx:450-10:08:45.120-02 0F F9 01 21 03 45 01 A4
Tx:451-10:08:45.123-02 55 00 00 00 00 00 00 00
Rx:452-10:08:46.640-01 0F FC 01 37 03 44 01 A8
Tx:453-10:08:46.643-01 55 00 00 00 00 00 00 00
Rx:454-10:08:47.910-02 0F FE 01 20 03 48 01 AB
Tx:455-10:08:47.913-02 55 00 00 00 00 00 00 00
Rx:456-10:08:48.120-01 0F FF 01 27 03 48 01 A8
Tx:457-10:08:48.123-01 55 00 00 00 00 00 00 00
Rx:458-10:08:49.640-02 10 06 01 39 03 45 01 AA
Tx:459-10:08:49.643-02 55 00 00 00 00 00 00 00
Rx:460-10:08:50.910-01 0F FC 01 3F 03 41 01 A8
Tx:461-10:08:50.913-01 55 00 00 00 00 00 00 00
Rx:462-10:08:51.120-02 10 05 01 3F 03 42 01 A8
Tx:463-10:08:51.123-02 55 00 00 00 00 00 00 00
Rx:464-10:08:52.640-01 0F FD 01 21 03 4A 01 AE
Tx:465-10:08:52.643-01 55 00 00 00 00 00 00 00
Rx:466-10:08:53.910-02 10 00 01 24 03 41 01 AA
Tx:467-10:08:53.913-02 55 00 00 00 00 00 00 00
Rx:468-10:08:54.120-01 10 07 01 21 03 45 01 AB
Tx:469-10:08:54.123-01 55 00 00 00 00 00 00 00
Rx:470-10:08:55.640-02 0F FC 01 2C 03 44 01 AD
Tx:471-10:08:55.643-02 55 00 00 00 00 00 00 00
Rx:472-10:08:56.910-01 10 09 01 3C 03 43 01 AB
Tx:473-10:08:56.913-01 55 00 00 00 00 00 00 00
Rx:474-10:08:57.120-02 0F FB 01 30 03 46 01 B0
Tx:475-10:08:57.123-02 55 00 00 00 00 00 00 00
Rx:476-10:08:58.640-01 0F FA 01 36 03 4B 01 AE
Tx:477-10:08:58.643-01 55 00 00 00 00 00 00 00
Rx:478-10:08:59.910-02 10 07 01 4B 03 49 01 B0
Tx:479-10:08:59.913-02 55 00 00 00 00 00 00 00
Rx:480-10:09:00.120-01 0F FB 01 35 03 49 01 AF
Tx:481-10:09:00.123-01 55 00 00 00 00 00 00 00
Rx:482-10:09:01.640-02 10 01 01 26 03 4F 01 AF
Tx:483-10:09:01.643-02 55 00 00 00 00 00 00 00
Rx:484-10:09:02.910-01 10 05 01 44 03 48 01 AD
Tx:485-10:09:02.913-01 55 00 00 00 00 00 00 00
Rx:486-10:09:03.120-02 10 08 01 4D 03 4C 01 B3
Tx:487-10:09:03.123-02 55 00 00 00 00 00 00 00
Rx:488-10:09:04.640-01 10 0C 01 3F 03 50 01 B0
Tx:489-10:09:04.643-01 55 00 00 00 00 00 00 00
Rx:490-10:09:05.910-02 0F FC 01 46 03 4B 01 AE
Tx:491-10:09:05.913-02 55 00 00 00 00 00 00 00
Rx:492-10:09:06.120-01 10 08 01 34 03 4F 01 AE
Tx:493-10:09:06.123-01 55 00 00 00 00 00 00 00
Rx:494-10:09:07.640-02 10 02 01 38 03 4D 01 B4
Tx:495-10:09:07.643-02 55 00 00 00 00 00 00 00
Rx:496-10:09:08.910-01 10 0E 01 55 03 4C 01 B1
Tx:497-10:09:08.913-01 55 00 00 00 00 00 00 00
Rx:498-10:09:09.120-02 0F FB 01 37 03 4A 01 B1
Tx:499-10:09:09.123-02 55 00 00 00 00 00 00 00
Rx:500-10:09:10.640-01 10 02 01 57 03 53 01 AF
Tx:501-10:09:10.643-01 55 00 00 00 00 00 00 00
Rx:502-10:09:11.910-02 0F FA 01 4A 03 4D 01 B6
Tx:503-10:09:11.913-02 55 00 00 00 00 00 00 00
Rx:504-10:09:12.120-01 0F FC 01 53 03 51 01 B5
Tx:505-10:09:12.123-01 55 00 00 00 00 00 00 00
Rx:506-10:09:13.640-02 10 0C 01 37 03 54 01 B4
Tx:507-10:09:13.643-02 55 00 00 00 00 00 00 00
Rx:508-10:09:14.910-01 0F FC 01 43 03 51 01 B5
Tx:509-10:09:14.913-01 55 00 00 00 00 00 00 00
Rx:510-10:09:15.120-02 10 0A 01 4D 03 53 01 B3
Tx:511-10:09:15.123-02 55 00 00 00 00 00 00 00
Rx:512-10:09:16.640-01 10 08 01 3F 03 56 01 B8
Tx:513-10:09:16.643-01 55 00 00 00 00 00 00 00
Rx:514-10:09:17.910-02 10 04 01 59 03 4F 01 B4
Tx:515-10:09:17.913-02 55 00 00 00 00 00 00 00
Rx:516-10:09:18.120-01 10 09 01 5D 03 53 01 B3
Tx:517-10:09:18.123-01 55 00 00 00 00 00 00 00
Rx:518-10:09:19.640-02 10 09 01 61 03 4F 01 B8
Tx:519-10:09:19.643-02 55 00 00 00 00 00 00 00
Rx:520-10:09:20.910-01 10 0A 01 5D 03 54 01 B2
Tx:521-10:09:20.913-01 55 00 00 00 00 00 00 00
Rx:522-10:09:21.120-02 0F F9 01 47 03 50 01 B7
Tx:523-10:09:21.123-02 55 00 00 00 00 00 00 00
Rx:524-10:09:22.640-01 0F FE 01 4F 03 56 01 B5
Tx:525-10:09:22.643-01 55 00 00 00 00 00 00 00
Rx:526-10:09:23.910-02 10 07 01 59 03 55 01 B7
Tx:527-10:09:23.913-02 55 00 00 00 00 00 00 00
Rx:528-10:09:24.120-01 0F FA 01 49 03 54 01 B8
Tx:529-10:09:24.123-01 55 00 00 00 00 00 00 00
Rx:530-10:09:25.640-02 10 04 01 69 03 5B 01 B9
Tx:531-10:09:25.643-02 55 00 00 00 00 00 00 00
Rx:532-10:09:26.910-01 0F FF 01 61 03 58 01 B4
Tx:533-10:09:26.913-01 55 00 00 00 00 00 00 00
Rx:534-10:09:27.120-02 0F FA 01 68 03 56 01 B4
Tx:535-10:09:27.123-02 55 00 00 00 00 00 00 00
Rx:536-10:09:28.640-01 0F FE 01 4F 03 5C 01 B9
Tx:537-10:09:28.643-01 55 00 00 00 00 00 00 00
Rx:538-10:09:29.910-02 0F FA 01 51 03 57 01 B9
Tx:539-10:09:29.913-02 55 00 00 00 00 00 00 00
Rx:540-10:09:30.120-01 10 00 01 5A 03 5B 01 BA
Tx:541-10:09:30.123-01 55 00 00 00 00 00 00 00
Rx:542-10:09:31.640-02 10 0A 01 6F 03 57 01 B6
Tx:543-10:09:31.643-02 55 00 00 00 00 00 00 00
Rx:544-10:09:32.910-01 10 00 01 6E 03 5C 01 BB
Tx:545-10:09:32.913-01 55 00 00 00 00 00 00 00
Rx:546-10:09:33.120-02 0F FD 01 65 03 56 01 B9
Tx:547-10:09:33.123-02 55 00 00 00 00 00 00 00
Rx:548-10:09:34.640-01 0F FC 01 69 03 5E 01 BA
Tx:549-10:09:34.643-01 55 00 00 00 00 00 00 00
Rx:550-10:09:35.910-02 0F F6 01 6B 03 5A 01 BA
Tx:551-10:09:35.913-02 55 00 00 00 00 00 00 00
Rx:552-10:09:36.120-01 10 05 01 71 03 60 01 B9
Tx:553-10:09:36.123-01 55 00 00 00 00 00 00 00
Rx:554-10:09:37.640-02 0F FF 01 60 03 5C 01 B8
Tx:555-10:09:37.643-02 55 00 00 00 00 00 00 00
Rx:556-10:09:38.910-01 0F F6 01 74 03 62 01 B9
Tx:557-10:09:38.913-01 55 00 00 00 00 00 00 00
Rx:558-10:09:39.120-02 10 02 01 72 03 5C 01 BB
Tx:559-10:09:39.123-02 55 00 00 00 00 00 00 00
Rx:560-10:09:40.640-01 0F F4 01 8D 03 5C 01 BB
Tx:561-10:09:40.643-01 55 00 00 00 00 00 00 00
Rx:562-10:09:41.910-02 10 04 01 86 03 61 01 BB
Tx:563-10:09:41.913-02 55 00 00 00 00 00 00 00
Rx:564-10:09:42.120-01 0F FC 01 7B 03 63 01 BC
Tx:565-10:09:42.123-01 55 00 00 00 00 00 00 00
Rx:566-10:09:43.640-02 0F F4 01 8F 03 60 01 BF
Tx:567-10:09:43.643-02 55 00 00 00 00 00 00 00
Rx:568-10:09:44.910-01 0F FF 01 87 03 62 01 BD
Tx:569-10:09:44.913-01 55 00 00 00 00 00 00 00
Rx:570-10:09:45.120-02 0F F7 01 76 03 62 01 BD
Tx:571-10:09:45.123-02 55 00 00 00 00 00 00 00
Rx:572-10:09:46.640-01 0F EF 01 7A 03 64 01 BE
Tx:573-10:09:46.643-01 55 00 00 00 00 00 00 00
Rx:574-10:09:47.910-02 10 00 01 89 03 65 01 BD
Tx:575-10:09:47.913-02 55 00 00 00 00 00 00 00
Rx:576-10:09:48.120-01 10 00 01 96 03 5E 01 BA
Tx:577-10:09:48.123-01 55 00 00 00 00 00 00 00
Rx:578-10:09:49.640-02 0F F7 01 98 03 66 01 BE
Tx:579-10:09:49.643-02 55 00 00 00 00 00 00 00
Rx:580-10:09:50.910-01 0F EF 01 94 03 63 01 C1
Tx:581-10:09:50.913-01 55 00 00 00 00 00 00 00
Rx:582-10:09:51.120-02 0F F1 01 8B 03 63 01 BC
Tx:583-10:09:51.123-02 55 00 00 00 00 00 00 00
Rx:584-10:09:52.640-01 0F F2 01 96 03 61 01 BE
Tx:585-10:09:52.643-01 55 00 00 00 00 00 00 00
Rx:586-10:09:53.910-02 0F EE 01 A6 03 68 01 C1
Tx:587-10:09:53.913-02 55 00 00 00 00 00 00 00
Rx:588-10:09:54.120-01 0F EC 01 AB 03 62 01 BB
Tx:589-10:09:54.123-01 55 00 00 00 00 00 00 00
Rx:590-10:09:55.640-02 0F ED 01 AD 03 62 01 BC
Tx:591-10:09:55.643-02 55 00 00 00 00 00 00 00
Rx:592-10:09:56.910-01 0F F8 01 A5 03 6A 01 BC
Tx:593-10:09:56.913-01 55 00 00 00 00 00 00 00
Rx:594-10:09:57.120-02 0F F3 01 98 03 68 01 BD
Tx:595-10:09:57.123-02 55 00 00 00 00 00 00 00
Rx:596-10:09:58.640-01 0F EE 01 AF 03 69 01 BE
Tx:597-10:09:58.643-01 55 00 00 00 00 00 00 00
Rx:598-10:09:59.910-02 0F F0 01 AB 03 68 01 BC
Tx:599-10:09:59.913-02 55 00 00 00 00 00 00 00
Rx:600-10:10:00.120-01 0F EF 01 B0 03 6C 01 C2
Tx:601-10:10:00.123-01 55 00 00 00 00 00 00 00
Rx:602-10:10:01.640-02 0F EC 01 BF 03 64 01 BC
Tx:603-10:10:01.643-02 55 00 00 00 00 00 00 00
Rx:604-10:10:02.910-01 0F F2 01 B5 03 68 01 BC
Tx:605-10:10:02.913-01 55 00 00 00 00 00 00 00
Rx:606-10:10:03.120-02 0F E4 01 C6 03 65 01 BF
Tx:607-10:10:03.123-02 55 00 00 00 00 00 00 00
Rx:608-10:10:04.640-01 0F EC 01 AA 03 6B 01 C3
Tx:609-10:10:04.643-01 55 00 00 00 00 00 00 00
Rx:610-10:10:05.910-02 0F F3 01 A5 03 67 01 C2
Tx:611-10:10:05.913-02 55 00 00 00 00 00 00 00
Rx:612-10:10:06.120-01 0F DF 01 BD 03 6A 01 C2
Tx:613-10:10:06.123-01 55 00 00 00 00 00 00 00
Rx:614-10:10:07.640-02 0F E3 01 AF 03 6B 01 BF
Tx:615-10:10:07.643-02 55 00 00 00 00 00 00 00
Rx:616-10:10:08.910-01 0F E4 01 C6 03 6C 01 C0
Tx:617-10:10:08.913-01 55 00 00 00 00 00 00 00
Rx:618-10:10:09.120-02 0F DC 01 D7 03 6D 01 BD
Tx:619-10:10:09.123-02 55 00 00 00 00 00 00 00
Rx:620-10:10:10.640-01 0F E0 01 C5 03 70 01 C1
Tx:621-10:10:10.643-01 55 00 00 00 00 00 00 00
Rx:622-10:10:11.910-02 0F DA 01 B6 03 6B 01 BE
Tx:623-10:10:11.913-02 55 00 00 00 00 00 00 00
Rx:624-10:10:12.120-01 0F D9 01 DE 03 6F 01 BF
Tx:625-10:10:12.123-01 55 00 00 00 00 00 00 00
Rx:626-10:10:13.640-02 0F E8 01 C4 03 6A 01 C4
Tx:627-10:10:13.643-02 55 00 00 00 00 00 00 00
Rx:628-10:10:14.910-01 0F D7 01 D1 03 6B 01 C1
Tx:629-10:10:14.913-01 55 00 00 00 00 00 00 00
Rx:630-10:10:15.120-02 0F D7 01 CF 03 71 01 C1
Tx:631-10:10:15.123-02 55 00 00 00 00 00 00 00
Rx:632-10:10:16.640-01 0F DF 01 CE 03 6D 01 C0
Tx:633-10:10:16.643-01 55 00 00 00 00 00 00 00
Rx:634-10:10:17.910-02 0F E3 01 D9 03 6E 01 BF
Tx:635-10:10:17.913-02 55 00 00 00 00 00 00 00
Rx:636-10:10:18.120-01 0F DC 01 D8 03 6B 01 C3
Tx:637-10:10:18.123-01 55 00 00 00 00 00 00 00
Rx:638-10:10:19.640-02 0F E1 01 E2 03 70 01 C5
Tx:639-10:10:19.643-02 55 00 00 00 00 00 00 00
Rx:640-10:10:20.910-01 0F DF 01 EF 03 6D 01 C4
Tx:641-10:10:20.913-01 55 00 00 00 00 00 00 00
Rx:642-10:10:21.120-02 0F D2 01 DE 03 71 01 BE
Tx:643-10:10:21.123-02 55 00 00 00 00 00 00 00
Rx:644-10:10:22.640-01 0F D8 01 F4 03 74 01 C4
Tx:645-10:10:22.643-01 55 00 00 00 00 00 00 00
Rx:646-10:10:23.910-02 0F D9 01 F1 03 75 01 BE
Tx:647-10:10:23.913-02 55 00 00 00 00 00 00 00
Rx:648-10:10:24.120-01 0F D9 01 DB 03 71 01 C6
Tx:649-10:10:24.123-01 55 00 00 00 00 00 00 00
Rx:650-10:10:25.640-02 0F D4 01 F1 03 76 01 C1
Tx:651-10:10:25.643-02 55 00 00 00 00 00 00 00
Rx:652-10:10:26.910-01 0F CD 01 E1 03 75 01 C4
Tx:653-10:10:26.913-01 55 00 00 00 00 00 00 00
Rx:654-10:10:27.120-02 0F CF 01 EF 03 78 01 C4
Tx:655-10:10:27.123-02 55 00 00 00 00 00 00 00
Rx:656-10:10:28.640-01 0F C9 02 04 03 76 01 C1
Tx:657-10:10:28.643-01 55 00 00 00 00 00 00 00
Rx:658-10:10:29.910-02 0F CB 02 09 03 76 01 C1
Tx:659-10:10:29.913-02 55 00 00 00 00 00 00 00
Rx:660-10:10:30.120-01 0F C9 01 EB 03 71 01 C6
Tx:661-10:10:30.123-01 55 00 00 00 00 00 00 00
Rx:662-10:10:31.640-02 0F CE 02 07 03 70 01 C1
Tx:663-10:10:31.643-02 55 00 00 00 00 00 00 00
Rx:664-10:10:32.910-01 0F C0 02 0F 03 7A 01 C1
Tx:665-10:10:32.913-01 55 00 00 00 00 00 00 00
Rx:666-10:10:33.120-02 0F BF 01 FD 03 76 01 C2
Tx:667-10:10:33.123-02 55 00 00 00 00 00 00 00
Rx:668-10:10:34.640-01 0F CD 02 15 03 78 01 C4
Tx:669-10:10:34.643-01 55 00 00 00 00 00 00 00
Rx:670-10:10:35.910-02 0F CE 02 1E 03 74 01 C3
Tx:671-10:10:35.913-02 55 00 00 00 00 00 00 00
Rx:672-10:10:36.120-01 0F BD 02 0D 03 79 01 C5
Tx:673-10:10:36.123-01 55 00 00 00 00 00 00 00
Rx:674-10:10:37.640-02 0F BE 02 01 03 7C 01 BF
Tx:675-10:10:37.643-02 55 00 00 00 00 00 00 00
Rx:676-10:10:38.910-01 0F BE 02 0D 03 7C 01 C1
Tx:677-10:10:38.913-01 55 00 00 00 00 00 00 00
Rx:678-10:10:39.120-02 0F C5 02 0B 03 74 01 BF
Tx:679-10:10:39.123-02 55 00 00 00 00 00 00 00
Rx:680-10:10:40.640-01 0F C0 02 08 03 79 01 C0
Tx:681-10:10:40.643-01 55 00 00 00 00 00 00 00
Rx:682-10:10:41.910-02 0F BD 02 1E 03 77 01 C2
Tx:683-10:10:41.913-02 55 00 00 00 00 00 00 00
Rx:684-10:10:42.120-01 0F BC 02 11 03 7A 01 C6
Tx:685-10:10:42.123-01 55 00 00 00 00 00 00 00
Rx:686-10:10:43.640-02 0F B9 02 2A 03 7D 01 C0
Tx:687-10:10:43.643-02 55 00 00 00 00 00 00 00
Rx:688-10:10:44.910-01 0F B2 02 30 03 78 01 BF
Tx:689-10:10:44.913-01 55 00 00 00 00 00 00 00
Rx:690-10:10:45.120-02 0F B8 02 30 03 7C 01 C5
Tx:691-10:10:45.123-02 55 00 00 00 00 00 00 00
Rx:692-10:10:46.640-01 0F B6 02 39 03 7F 01 C4
Tx:693-10:10:46.643-01 55 00 00 00 00 00 00 00
Rx:694-10:10:47.910-02 0F B5 02 41 03 7E 01 C1
Tx:695-10:10:47.913-02 55 00 00 00 00 00 00 00
Rx:696-10:10:48.120-01 0F B6 02 38 03 7C 01 BF
Tx:697-10:10:48.123-01 55 00 00 00 00 00 00 00
Rx:698-10:10:49.640-02 0F A9 02 27 03 81 01 BE
Tx:699-10:10:49.643-02 55 00 00 00 00 00 00 00
Rx:700-10:10:50.910-01 0F A8 02 3E 03 79 01 BE
Tx:701-10:10:50.913-01 55 00 00 00 00 00 00 00
Rx:702-10:10:51.120-02 0F B6 02 44 03 78 01 C1
Tx:703-10:10:51.123-02 55 00 00 00 00 00 00 00
Rx:704-10:10:52.640-01 0F AE 02 34 03 7F 01 BF
Tx:705-10:10:52.643-01 55 00 00 00 00 00 00 00
Rx:706-10:10:53.910-02 0F A3 02 2D 03 80 01 BD
Tx:707-10:10:53.913-02 55 00 00 00 00 00 00 00
Rx:708-10:10:54.120-01 0F A7 02 52 03 7A 01 C2
Tx:709-10:10:54.123-01 55 00 00 00 00 00 00 00
Rx:710-10:10:55.640-02 0F A6 02 33 03 7F 01 C4
Tx:711-10:10:55.643-02 55 00 00 00 00 00 00 00
Rx:712-10:10:56.910-01 0F 9E 02 38 03 81 01 C5
Tx:713-10:10:56.913-01 55 00 00 00 00 00 00 00
Rx:714-10:10:57.120-02 0F A3 02 39 03 83 01 BE
Tx:715-10:10:57.123-02 55 00 00 00 00 00 00 00
Rx:716-10:10:58.640-01 0F 9A 02 43 03 7E 01 BD
Tx:717-10:10:58.643-01 55 00 00 00 00 00 00 00
Rx:718-10:10:59.910-02 0F A4 02 50 03 7D 01 C2
Tx:719-10:10:59.913-02 55 00 00 00 00 00 00 00
Rx:720-10:11:00.120-01 0F A7 02 50 03 7D 01 BE
Tx:721-10:11:00.123-01 55 00 00 00 00 00 00 00
Rx:722-10:11:01.640-02 0F 96 02 4C 03 7E 01 C3
Tx:723-10:11:01.643-02 55 00 00 00 00 00 00 00
Rx:724-10:11:02.910-01 0F 93 02 4A 03 7F 01 C1
Tx:725-10:11:02.913-01 55 00 00 00 00 00 00 00
Rx:726-10:11:03.120-02 0F 9C 02 4E 03 7E 01 C2
Tx:727-10:11:03.123-02 55 00 00 00 00 00 00 00
Rx:728-10:11:04.640-01 0F 97 02 57 03 84 01 BC
Tx:729-10:11:04.643-01 55 00 00 00 00 00 00 00
Rx:730-10:11:05.910-02 0F 8D 02 65 03 7F 01 BF
Tx:731-10:11:05.913-02 55 00 00 00 00 00 00 00
Rx:732-10:11:06.120-01 0F 91 02 63 03 80 01 BD
Tx:733-10:11:06.123-01 55 00 00 00 00 00 00 00
Rx:734-10:11:07.640-02 0F 8C 02 72 03 80 01 BF
Tx:735-10:11:07.643-02 55 00 00 00 00 00 00 00
Rx:736-10:11:08.910-01 0F 88 02 5D 03 89 01 C3
Tx:737-10:11:08.913-01 55 00 00 00 00 00 00 00
Rx:738-10:11:09.120-02 0F 92 02 55 03 85 01 BC
Tx:739-10:11:09.123-02 55 00 00 00 00 00 00 00
Rx:740-10:11:10.640-01 0F 87 02 5C 03 80 01 C3
Tx:741-10:11:10.643-01 55 00 00 00 00 00 00 00
Rx:742-10:11:11.910-02 0F 85 02 6A 03 89 01 BE
Tx:743-10:11:11.913-02 55 00 00 00 00 00 00 00
Rx:744-10:11:12.120-01 0F 8C 02 69 03 85 01 C1
Tx:745-10:11:12.123-01 55 00 00 00 00 00 00 00
Rx:746-10:11:13.640-02 0F 7C 02 71 03 89 01 C1
Tx:747-10:11:13.643-02 55 00 00 00 00 00 00 00
Rx:748-10:11:14.910-01 0F 79 02 6D 03 87 01 C2
Tx:749-10:11:14.913-01 55 00 00 00 00 00 00 00
Rx:750-10:11:15.120-02 0F 7F 02 5E 03 84 01 C1
Tx:751-10:11:15.123-02 55 00 00 00 00 00 00 00
Rx:752-10:11:16.640-01 0F 77 02 75 03 82 01 BF
Tx:753-10:11:16.643-01 55 00 00 00 00 00 00 00
Rx:754-10:11:17.910-02 0F 76 02 7E 03 89 01 BA
Tx:755-10:11:17.913-02 55 00 00 00 00 00 00 00
Rx:756-10:11:18.120-01 0F 7B 02 6B 03 8C 01 C1
Tx:757-10:11:18.123-01 55 00 00 00 00 00 00 00
Rx:758-10:11:19.640-02 0F 7B 02 79 03 87 01 BA
Tx:759-10:11:19.643-02 55 00 00 00 00 00 00 00
Rx:760-10:11:20.910-01 0F 6D 02 76 03 83 01 BD
Tx:761-10:11:20.913-01 55 00 00 00 00 00 00 00
Rx:762-10:11:21.120-02 0F 75 02 76 03 87 01 C0
Tx:763-10:11:21.123-02 55 00 00 00 00 00 00 00
Rx:764-10:11:22.640-01 0F 70 02 7A 03 8D 01 BF
Tx:765-10:11:22.643-01 55 00 00 00 00 00 00 00
Rx:766-10:11:23.910-02 0F 76 02 80 03 85 01 BE
Tx:767-10:11:23.913-02 55 00 00 00 00 00 00 00
Rx:768-10:11:24.120-01 0F 6E 02 6F 03 8C 01 BB
Tx:769-10:11:24.123-01 55 00 00 00 00 00 00 00
Rx:770-10:11:25.640-02 0F 74 02 70 03 89 01 BC
Tx:771-10:11:25.643-02 55 00 00 00 00 00 00 00
Rx:772-10:11:26.910-01 0F 6A 02 74 03 86 01 BA
Tx:773-10:11:26.913-01 55 00 00 00 00 00 00 00
Rx:774-10:11:27.120-02 0F 6C 02 7E 03 8A 01 B8
Tx:775-10:11:27.123-02 55 00 00 00 00 00 00 00
Rx:776-10:11:28.640-01 0F 63 02 93 03 8E 01 B9
Tx:777-10:11:28.643-01 55 00 00 00 00 00 00 00
Rx:778-10:11:29.910-02 0F 69 02 7B 03 87 01 BF
Tx:779-10:11:29.913-02 55 00 00 00 00 00 00 00
Rx:780-10:11:30.120-01 0F 6A 02 86 03 8E 01 BB
Tx:781-10:11:30.123-01 55 00 00 00 00 00 00 00
Rx:782-10:11:31.640-02 0F 61 02 96 03 87 01 B9
Tx:783-10:11:31.643-02 55 00 00 00 00 00 00 00
Rx:784-10:11:32.910-01 0F 60 02 88 03 8C 01 B9
Tx:785-10:11:32.913-01 55 00 00 00 00 00 00 00
Rx:786-10:11:33.120-02 0F 58 02 9A 03 8B 01 B6
Tx:787-10:11:33.123-02 55 00 00 00 00 00 00 00
Rx:788-10:11:34.640-01 0F 51 02 82 03 88 01 BC
Tx:789-10:11:34.643-01 55 00 00 00 00 00 00 00
Rx:790-10:11:35.910-02 0F 5E 02 9C 03 8B 01 BC
Tx:791-10:11:35.913-02 55 00 00 00 00 00 00 00
Rx:792-10:11:36.120-01 0F 52 02 88 03 89 01 B7
Tx:793-10:11:36.123-01 55 00 00 00 00 00 00 00
Rx:794-10:11:37.640-02 0F 4C 02 8E 03 91 01 BC
Tx:795-10:11:37.643-02 55 00 00 00 00 00 00 00
Rx:796-10:11:38.910-01 0F 4C 02 8D 03 8E 01 BB
Tx:797-10:11:38.913-01 55 00 00 00 00 00 00 00
Rx:798-10:11:39.120-02 0F 45 02 91 03 8B 01 B7
Tx:799-10:11:39.123-02 55 00 00 00 00 00 00 00
Rx:800-10:11:40.640-01 0F 54 02 A9 03 8B 01 B4
Tx:801-10:11:40.643-01 55 00 00 00 00 00 00 00
Rx:802-10:11:41.910-02 0F 51 02 88 03 8B 01 B7
Tx:803-10:11:41.913-02 55 00 00 00 00 00 00 00
Rx:804-10:11:42.120-01 0F 46 02 8D 03 91 01 B9
Tx:805-10:11:42.123-01 55 00 00 00 00 00 00 00
Rx:806-10:11:43.640-02 0F 3A 02 AC 03 93 01 B5
Tx:807-10:11:43.643-02 55 00 00 00 00 00 00 00
Rx:808-10:11:44.910-01 0F 38 02 AA 03 91 01 B6
Tx:809-10:11:44.913-01 55 00 00 00 00 00 00 00
Rx:810-10:11:45.120-02 0F 43 02 93 03 8F 01 B5
Tx:811-10:11:45.123-02 55 00 00 00 00 00 00 00
Rx:812-10:11:46.640-01 0F 3B 02 9D 03 95 01 B8
Tx:813-10:11:46.643-01 55 00 00 00 00 00 00 00
Rx:814-10:11:47.910-02 0F 39 02 A4 03 8D 01 B3
Tx:815-10:11:47.913-02 55 00 00 00 00 00 00 00
Rx:816-10:11:48.120-01 0F 3A 02 9A 03 96 01 B5
Tx:817-10:11:48.123-01 55 00 00 00 00 00 00 00
Rx:818-10:11:49.640-02 0F 3E 02 A1 03 91 01 B6
Tx:819-10:11:49.643-02 55 00 00 00 00 00 00 00
Rx:820-10:11:50.910-01 0F 3D 02 9A 03 8F 01 B6
Tx:821-10:11:50.913-01 55 00 00 00 00 00 00 00
Rx:822-10:11:51.120-02 0F 2B 02 9F 03 94 01 B4
Tx:823-10:11:51.123-02 55 00 00 00 00 00 00 00
Rx:824-10:11:52.640-01 0F 2A 02 A7 03 95 01 B2
Tx:825-10:11:52.643-01 55 00 00 00 00 00 00 00
Rx:826-10:11:53.910-02 0F 23 02 9B 03 91 01 B3
Tx:827-10:11:53.913-02 55 00 00 00 00 00 00 00
Rx:828-10:11:54.120-01 0F 32 02 94 03 8F 01 B6
Tx:829-10:11:54.123-01 55 00 00 00 00 00 00 00
Rx:830-10:11:55.640-02 0F 22 02 95 03 90 01 B1
Tx:831-10:11:55.643-02 55 00 00 00 00 00 00 00
Rx:832-10:11:56.910-01 0F 24 02 A2 03 95 01 B5
Tx:833-10:11:56.913-01 55 00 00 00 00 00 00 00
Rx:834-10:11:57.120-02 0F 1F 02 B4 03 97 01 AF
